Question,Response,Overall,job_level_CEO
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Pay and compensation (e.g., salary, bonus, stock options)",88%,87%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Job security,88%,63%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",The work itself,87%,92%
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Employee benefits (e.g., healthcare, mental health and wellness services, Paid Time Off, complimentary food and services)",84%,87%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Flexible work hours,80%,68%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Employer's respect for personal priorities outside of work,80%,74%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Reputation of the organization,78%,85%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Career advancement,78%,92%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Commute to office,78%,68%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Learning and development opportunities,78%,78%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Colleagues I work with,77%,82%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Organizational culture and values,75%,85%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Hiring manager I trust,75%,72%
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Workplace policy (i.e. in office, from home, hybrid)",73%,68%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Organizational purpose and mission,71%,89%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Inclusive policies and practices,66%,81%
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Social responsibility (e.g., societal justice, community outreach) policies and practices",66%,81%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Environmental sustainability policies and practices,62%,89%
"Q1 - If you were to look for a new job, what would be the most important factors for you?","Use of advanced technologies (e.g., AI, automation)",59%,92%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Visa sponsorship / immigration assistance from an employer,46%,63%
"Q1 - If you were to look for a new job, what would be the most important factors for you?",Other,4%,0%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?","Pay and compensation (e.g., salary, bonus, stock options)",88%,83%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Job security,86%,89%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",The work itself,85%,91%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?","Employee benefits (e.g., healthcare , mental health and wellness services, Paid Time Off, complimentary food and services)",83%,85%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Manager I trust,80%,91%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Flexible work hours,80%,88%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Employer's respect for personal priorities outside of work,79%,78%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Colleagues I work with,79%,82%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Career advancement,76%,78%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Commute to office,76%,72%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Learning and development opportunities,76%,85%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Reputation of the organization,74%,89%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?","Workplace policy (i.e. in office, from home, hybrid)",73%,88%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Organizational culture and values,71%,91%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Organizational purpose and mission,69%,89%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?","Social responsibility (e.g., societal justice, community outreach) policies and practices",64%,81%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Inclusive policies and practices,64%,81%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Environmental sustainability policies and practices,61%,89%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?","Use of advanced technologies (e.g., AI, automation)",59%,92%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Visa sponsorship / immigration assistance from an employer,48%,78%
"Q2 - When considering the below options which are would be most likely to make you stay at your current company?",Other,4%,1%
"Q3 - When considering the below options, which are most likely to make you leave your current company?","Poor pay and compensation (e.g., salary, bonus, stock options)",80%,68%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",The work itself,77%,83%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Lack of job security,76%,54%
"Q3 - When considering the below options, which are most likely to make you leave your current company?","Inadequate employee benefits (e.g., healthcare, mental health and wellness services, Paid Time Off, complimentary food and services)",74%,68%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Employer's respect for personal priorities outside of work,73%,49%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Manager I don't trust,72%,54%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Colleagues I work with,71%,29%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Lack of flexible work hours,71%,29%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Commute to office,68%,29%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Poor organizational culture and values,66%,1%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Inadequate learning and development opportunities,66%,1%
"Q3 - When considering the below options, which are most likely to make you leave your current company?","Workplace policy (i.e. in office, from home, hybrid)",66%,1%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Reputation of the organization,65%,1%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Organization not fulfilling purpose and mission,63%,1%
"Q3 - When considering the below options, which are most likely to make you leave your current company?","Poor social responsibility (e.g., societal justice, community outreach) policies and practices",59%,1%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Non-inclusive policies and practices,58%,0%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Poor environmental sustainability policies and practices,55%,0%
"Q3 - When considering the below options, which are most likely to make you leave your current company?","Use of advanced technologies (e.g., AI, automation)",50%,0%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Visa sponsorship / immigration assistance from an employer,45%,0%
"Q3 - When considering the below options, which are most likely to make you leave your current company?",Other,4%,0%
