,,,S3: Which of the following industries do you work in?,,,,,,,Q2: What are the top strategic business priorities for your organization over the next two years?,,,,,,,,,,Q3: Which of the following external trends will have the biggest impact on your business in the next two years?,,,,,,,,,,,,,Q4: Which of these are problems you’re seeing within your organization?,,,,,,,,,,,,,,,,,"Q10: When selecting a consulting firm as part of your organizational and talent strategy, who is involved in the decision-making group?",,,,,,,,,,,,,,,,,,
"OQ - As a reminder, you must not disclose any confidential or material, non-public information in your responses to the questions in this survey. &nbsp;The client commissioning this survey could be seriously harmed if you were to do so. Accordingly, do you agree that:<br /><br />
<ul>
<li /><span>You will not provide any information that you have a contractual or legal duty to keep confidential;</span>
<li /><span>You will not provide any information that identifies you or your employer (if applicable) in any comment box in the survey; and</span>
<li /><span>You will decline to answer any question in the survey in order to comply with your obligations to past or present employers or other third parties.</span>
</ul>",S1 - Tell us your company size.,S2 - In which of the following countries are you currently based for work?,S3 - Which of the following industries do you work in?,S3r8oe,S4 - Which of these best describes your job title at the company?,S5 - Which of these best describes your job function?,S6 - To what extent are you involved in the decision-making process of your line of business?,S7 - Are you on the board of a company?,Q1 - What are your biggest challenges as a Board member?,Q2 - Growth &amp; market expansion,Q2 - Innovation,Q2 - Transformation,Q2 - AI &amp; technology,Q2 - Cost efficiency &amp; productivity,Q2 - Skills for the future,Q2 - Culture change,Q2 - Risk &amp; reputation management,Q2 - Sustainability &amp; ESG,Q2 - Other,Q3 - Economic uncertainty,Q3 - Political uncertainty,Q3 - Sustainability and the energy transition,Q3 - Regulatory changes,Q3 - Supply chain shortage,Q3 - Labor and skills shortages,"Q3 - Technological changes, including generative AI",Q3 - Convergence of industries,Q3 - Changing consumer behaviors,Q3 - Activist behaviors,Q3 - M&amp;A (consolidation and restructuring),Q3 - Competitive innovation,Q3 - Other,Q4 - Lack of productivity,Q4 - Lack of engagement,Q4 - Resistance to return to office,Q4 - Requests for more flexibility,Q4 - Lack of alignment with organizational goals,Q4 - Resistance to AI and new technologies,Q4 - Inter-generational challenges,Q4 - Change fatigue,Q4 - Other,Q4 - Don’t know / cannot disclose,Q5 - Where are you feeling the most pressure to perform and where do you feel stuck?,Q6 - Are there any critical capability gaps you’re working to close either at a team or organizational level?,"Q7 - When researching a consulting firm as part of your organizational and talent strategy, who does the research and collates the information for you?","noanswerQ7_n1 - When researching a consulting firm as part of your organizational and talent strategy, who does the research and collates the information for you?: Don’t know / cannot disclose","Q8 - When selecting a new consulting firm as part of your organizational and talent strategy, how many people are in the decision-making group as part of the selection process?","noanswerQ8_n1 - When selecting a new consulting firm as part of your organizational and talent strategy, how many people are in the decision-making group as part of the selection process?: Don’t know / cannot disclose",Q9 - To what extent are you involved in the decision-making process during the selection of a consulting firm for your company?,Q10 - Procurement,Q10 - Finance,Q10 - Line of Business Leader,Q10 - CEO,Q10 - CHRO,Q10 - IT,Q10 - Marketing,Q10 - Other (please specify):,Q10 - Don’t know / cannot disclose,Q10r8oe,"Q11 - If a consulting partner could help you solve just <i>one</i> thing this year, what would it be?","Q12 - What makes you <i>not</i> move forward with solutions presented by a consulting firm, even if they’re relevant?","Q13 - If you could design the ideal consulting firm partner from scratch, what would they do, how would they show up, and how would they be different from everyone else?",Q14 - What sources do you trust most when evaluating partners?,"Q15 - Where do you and your leaders go for thought leadership or insight — industry reports, podcasts, email newsletters, etc.?","Q16 - Are there any publications, analysts, or influencers your executive team pays attention to?",Q17 - What content do your teams <i>actually</i> read or share internally?,"Q18 - Would you rather watch, listen, or read when exploring new thinking?",Q19 - What media do you subscribe to?
I agree,"More than 10,000 employees",United States,Financial Services,,Head,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of another company",Balancing compliance with innovation.,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Trying to drive strategic growth while navigating market volatility.,Helping to further automate / digitize several analyses.,Our in-house Strategy team does the initial research in conjunction with an MBB-like firm. And then it is presented to functional executives.,0,No more than 5 individuals.,0,I am part of a decision making team,0,1,1,0,0,0,1,0,0,,Enhancing our operating model to increase cross-functional efficiency.,Market volatility.,"Deep industry expertise. Not only strategy, but also offering execution support. Ability to move fast with the backing of data.",Peer recommendations and industry referrals.,Industry reports from well-respected firms. White papers from competitors.,"McKinsey reports, Analysts from the top banks, notable fund managers like Dalio or influencers like El-Erian.",Industry reports from consulting firms and sell-side banks.,Read.,"WSJ, Bloomberg, FT, Economist."
I agree,"More than 10,000 employees",United States,Life sciences,,Head,Operations,I am the primary decision maker,"No, I'm not on a Board",,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0, Wearing different hats  in operational day to to day activities hinders task delegation and future skill specialization.,Working to establish new technological infrastructure that includes a responsible use of AI.,These functions are outsourced anymore.,0,These functions are kept in-house now.,0,I am aware of the decision-making process or consulted on it but I am not directly involved in it,0,1,1,1,0,0,0,0,0,,Labor force training on safe and responsible use of AI in line of work.,Current political and economic uncertainty requires risk avoidance.,This consulting firm would need to spend a certain amount of time within business units and different site operations to get to know all employee perspectives and challenges before making recommendations.,Industry peers,"Podcasts, industry/scientific conferences and summits, white papers/scientific publications (incl. case studies).",Not applicable,"Market reports, podcasts, email newsletters with summaries of relevant content with links to external sources.",None of these.,No subscriptions to any specific media.
I agree,"More than 10,000 employees",United States,Consumer markets,,VP,Senior Leadership (cross function),I am part of a decision-making team,"No, I'm not on a Board",,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,"My organization is in the midst of a digital transformation. It is evident that our existing talent base lacks the skills to effectively deliver in a more digitally nimble environment, and the rest of our business (sales, operations, HR, etc.) is not aligned with the new ways of working required to achieve full impact of our transformation. Legacy leaders and employees are primarily focused on an uncertain economic environment, which drives risk averse behaviors that limit our ability to adapt and grow.",Our organization is focused on two main gaps: upskilling our teams via hiring (primarily externally) and increasing communication with leaders across the enterprise to reduce resistance to change.,"This research is shared among an enterprise strategy team, my digital strategy team, and executives from the involved operating unit (if relevant.) The research is also facilitated by our procurement team.",0,See previous answer. This is typically 3-5 executive leaders making the decision.,0,I am aware of the decision-making process or consulted on it but I am not directly involved in it,1,0,1,0,0,0,0,1,0,Chief Strategy Officer,Transformation change management,Desire to lead the work in-house and existing employees assigned to the work. Issue not being prioritized enough to warrant an engagement.,"The ideal consulting firm would focus on outcomes from our business (specifically ROI) over outcomes for their own (e.g., looking to extend engagements, draw out the timeline, add scope.) They would get commitment from our executive leadership to provide honest feedback and have that advice taken seriously, otherwise they would not take on the engagement.",My own experience as a consultant.,"Industry reports (Rabobank specifically for my industry), industry email newsletters (Shanken), and management insights from major consulting firms and MBA program faculty.","Rabobank, Shanken","Shanken, Rabobank, SoFi Wine Report, select podcasts",Read,"Shanken, Liquid Assets podcast"
I agree,"More than 10,000 employees",United States,Financial Services,,VP,Learning & Development,I am the primary decision maker,"Yes, I'm on the board of another company","Combating inflation, cost of attrition, and speculative AI investments against ROI.",0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,"we have the most pressure to perform in being competitive against the number of competing organizations in our same space, so market share, and the ability to upsell. Our employee base is critical for future, success, and competition.","skill capability as it relates to AI, notably, prompting, and the understanding of AI as a complementary tool, not a replacement for skilled workers.","I would be on a committee to investigate this, and it would usually incorporate several party members from COO, CEO, CRO, and CHRO.",0,"probably less than eight or so, but many more by extension would be involved in the conversation throughout the lifespan and potential RFP processes.",0,I am part of a decision making team,1,1,1,1,1,0,0,0,0,,combating productivity losses against individual per head contributions to overall bottom line revenue.,cost.,"we would want someone who has an intimate knowledge of our working sphere, specifically within our industry, and with a global understanding of how we conduct and acquire business. They would also need to be flexible to multi month changes in KPI’s and priorities as they throughout our engagement together.","probably referrals or past experiences, but we also will give opportunities to newer organizations who have been invited to a formal RFP process.","I think we all have our own specific avenues, but I typically look for more academic or collegial articles and resources in a variety of places, including primary source from other consulting agencies, as well as associations I have and remain a part of my professional locus.","We’re all subscribers to Harvard management mentor spark, which is a great tool for journals and academic research in a number of leadership and business focus areas.",probably quick sharing articles from HMM Spark is our go to across multiple teams internally.,"I’m equal between watching and listening, but I would prefer a more tactile approach, whenever I can get my hands on something in a workshop environment that tends to be my most preferred method.","A number of news and social media sources, including CNN, CNBC, NBC, Fox, etc."
I agree,"More than 10,000 employees",United States,Financial Services,,VP,Senior Leadership (cross function),I am part of a decision-making team,"No, I'm not on a Board",,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,Innovation and challenges due to economic uncertainty and resources,Increase operations automation,A team of cross functional stakeholders,0,6-12,0,I am part of a decision making team,0,1,1,0,0,1,0,0,0,,Operational efficiency,Priorities,"They would have a deep understanding of our business, embed themselves seamlessly into our team and coach with implementation strategies",Past performance,Industry trends,No,Wsj,Watch and listen,Mostly online media
I agree,"More than 10,000 employees",United States,Industrial Manufacturing,,Chief Information Officer,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,LLM AI changes the industry and the company doesn’t know how to adapt the changes,A good technical and solution of AI for us,The related team will evaluate it,0,Roughly 5-7 people,0,I am part of a decision making team,1,1,1,1,0,1,0,0,0,,AI solutions for our company,Solution doesn’t meet the basic requirements,Meeting our requirements,Only by our own judgement,Not by single source but individual reports may help,No such a influential publication,News feed by software,Yes,Quite a lot in social media apps
I agree,"More than 10,000 employees",United States,Consumer markets,,Senior VP,Human Resources,I am the primary decision maker,"No, I'm not on a Board",,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,"Within our logistics and transportation space and commercial capabilities, specifically revenue growth management","Revenue growth management, DSD effectiveness.",Our Talent Plus HR Shared Services team,0,3-5,0,I am part of a decision making team,1,1,1,0,1,0,0,0,0,,Bringing AI and ML to reduce cost and drive effectiveness,"Cost, resources to drive change",50% fee upon consulting and another fee tied to delivery of the outcome/beneftis they said they would deliver,Former projects work and leaders that have used a consultant team,"Gardner, business publications",None come to mind that are routine,Gartner and industry publications,"Combination of all 3, but probably listen is preferred","LinkedIn, Gartner"
I agree,"More than 10,000 employees",United States,Financial Services,,VP,Sales,I am the primary decision maker,"No, I'm not on a Board",,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,"Getting clients to move to our products, getting clients to get away from the status quo",Operationally and service oriented issues.  Driving towards service excellence.,Group of team members from multiple departments.,0,6-8,0,I am part of a decision making team,0,1,1,1,1,0,0,0,0,,Service metrics and structure,"Cost, ROI",Have to demonstrate ROI and how they differentiate from competitors and actually drive results,Referrals,Trusted industry news articles,"Nothing specific, our organization produces morning industry newsletters","Competitor information that moves the needle, acquisitions, regulatory updates","Watch, read, listen.  Read especially if there is a summary",None specifically.
I agree,"More than 10,000 employees",United States,Financial Services,,VP,Operations,I am part of a decision-making team,"No, I'm not on a Board",,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Cost efficiency in an increasingly volatile environment, particularly as an foreign institution operating in the US",Balancing cost efficiency with high quality talent,Office of the CEO or COO or CFO depending what the consulting provider specializes in,0,The executive team: core members - around 10,0,I am part of a decision making team,1,0,1,1,0,0,0,0,0,,Upskill current talent. Acquire new market opportunities in a volatile environment,High cost and we have an internal consulting team,"Know the business, have expertise in the industry, particularly with similar players (not just the bigger ones) ie European banks operating in the US. Be able to tie the value they deliver to the service they provide.","Peers in industry, colleagues who worked in consulting","Consulting firms subscriptions, Coalition, Dealogic, WSJ, Bloomberg",Mentioned in previous question,"Financial results (ours) and publicly disclosed results of competitors, major finance news sources",Watch and read,Mentioned in previous question
